Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;2679402.872;1235842.01;de;01.07.2008
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;2679815.372;1237404.31;de;01.07.2008
Zwillikon;8909;0;Affoltern am Albis;2;ZH;2675280.133;1238108.286;de;01.07.2008
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;2676852.012;1236929.718;de;01.07.2008
Bonstetten;8906;0;Bonstetten;3;ZH;2677412.15;1241078.278;de;01.07.2008
Sihlbrugg;6340;4;Hausen am Albis;4;ZH;2686089.206;1230648.609;de;01.07.2008
Langnau am Albis;8135;0;Hausen am Albis;4;ZH;2682031.828;1235594.87;de;01.07.2008
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;2682851.794;1233662.737;de;01.07.2008
Ebertswil;8925;0;Hausen am Albis;4;ZH;2684421.804;1231375.04;de;01.07.2008
Hedingen;8908;0;Hedingen;5;ZH;2676516.423;1239543.573;de;01.07.2008
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;2681771.501;1231404.159;de;01.07.2008
Hauptikon;8926;2;Kappel am Albis;6;ZH;2679950.61;1231828.879;de;01.07.2008
Uerzlikon;8926;3;Kappel am Albis;6;ZH;2680321.762;1230229.033;de;01.07.2008
Knonau;8934;0;Knonau;7;ZH;2677587.649;1230879.646;de;01.07.2008
Maschwanden;8933;0;Maschwanden;8;ZH;2675132.724;1232112.741;de;01.07.2008
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;2677789.998;1233600.22;de;01.07.2008
Affoltern am Albis;8910;0;Obfelden;10;ZH;2675665.187;1236090.022;de;01.07.2008
Obfelden;8912;0;Obfelden;10;ZH;2674456.245;1234854.065;de;01.07.2008
Ottenbach;8913;0;Ottenbach;11;ZH;2673382.535;1237139.777;de;01.07.2008
Rifferswil;8911;0;Rifferswil;12;ZH;2679965.45;1233269.319;de;01.07.2008
Adliswil;8134;0;Stallikon;13;ZH;2680696.736;1240684.937;de;01.07.2008
Stallikon;8143;0;Stallikon;13;ZH;2679441.38;1242625.82;de;01.07.2008
Uetliberg;8143;2;Stallikon;13;ZH;2679573.189;1244717.829;de;01.07.2008
Wettswil;8907;0;Wettswil am Albis;14;ZH;2677993.454;1243461.551;de;01.07.2008
Benken ZH;8463;0;Benken (ZH);22;ZH;2691357.35;1278833.315;de;01.07.2008
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;2686327.191;1268659.976;de;01.07.2008
Gräslikon;8415;1;Berg am Irchel;23;ZH;2687796.479;1267906.254;de;01.07.2008
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;2689314.064;1267314.778;de;01.07.2008
Dachsen;8447;0;Dachsen;25;ZH;2689068.453;1279684.813;de;01.07.2008
Dorf;8458;0;Dorf;26;ZH;2691097.997;1269654.271;de;01.07.2008
Feuerthalen;8245;0;Feuerthalen;27;ZH;2690508.331;1282739.757;de;01.07.2008
Langwiesen;8246;0;Feuerthalen;27;ZH;2691906.276;1282130.783;de;01.07.2008
Flaach;8416;0;Flaach;28;ZH;2687512.518;1270948.915;de;01.07.2008
Flurlingen;8247;0;Flurlingen;29;ZH;2689867.716;1282127.243;de;01.07.2008
Henggart;8444;0;Henggart;31;ZH;2693487.194;1268481.255;de;01.07.2008
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;2693715.169;1273645.258;de;01.07.2008
Alten;8453;0;Kleinandelfingen;33;ZH;2690417.508;1272494.016;de;01.07.2008
Oerlingen;8461;0;Kleinandelfingen;33;ZH;2693132.64;1275464.005;de;01.07.2008
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;2688008.348;1279837.932;de;01.07.2008
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;2690992.849;1280555.225;de;01.07.2008
Dachsen;8447;0;Laufen-Uhwiesen;34;ZH;2688246.724;1281212.309;de;01.07.2008
Marthalen;8460;0;Marthalen;35;ZH;2690209.819;1274873.843;de;01.07.2008
Ellikon am Rhein;8464;0;Marthalen;35;ZH;2687787.654;1273042.354;de;01.07.2008
Trüllikon;8466;0;Ossingen;37;ZH;2694052.571;1275700.291;de;01.07.2008
Ossingen;8475;0;Ossingen;37;ZH;2696481.98;1274194.07;de;01.07.2008
Rheinau;8462;0;Rheinau;38;ZH;2688648.13;1275885.417;de;01.07.2008
Ellikon am Rhein;8464;0;Rheinau;38;ZH;2687987.317;1273199.801;de;01.07.2008
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;2698295.658;1270963.313;de;01.07.2008
Rudolfingen;8465;0;Trüllikon;40;ZH;2692631.492;1277112.489;de;01.07.2008
Wildensbuch;8465;1;Trüllikon;40;ZH;2693250.06;1278549.609;de;01.07.2008
Trüllikon;8466;0;Trüllikon;40;ZH;2694810.466;1276944.181;de;01.07.2008
Truttikon;8467;0;Truttikon;41;ZH;2697026.256;1276546.973;de;01.07.2008
Volken;8459;0;Volken;43;ZH;2689744.938;1270228.939;de;01.07.2008
Bülach;8180;0;Bachenbülach;51;ZH;2684806.914;1262781.403;de;01.07.2008
Bachenbülach;8184;0;Bachenbülach;51;ZH;2683382.623;1261738.649;de;01.07.2008
Bassersdorf;8303;0;Bassersdorf;52;ZH;2689557.606;1255056.672;de;01.07.2008
Bülach;8180;0;Bülach;53;ZH;2683359.449;1265024.356;de;01.07.2008
Glattfelden;8192;0;Bülach;53;ZH;2681743.997;1267043.736;de;01.07.2008
Dietlikon;8305;0;Dietlikon;54;ZH;2688566.589;1253337.003;de;01.07.2008
Dübendorf;8600;0;Dietlikon;54;ZH;2689512.338;1251504.019;de;01.07.2008
Eglisau;8193;0;Eglisau;55;ZH;2681595.125;1269634.168;de;01.07.2008
Rafz;8197;0;Eglisau;55;ZH;2682964.22;1271746.445;de;01.07.2008
Embrach;8424;0;Embrach;56;ZH;2687457.095;1262791.7;de;01.07.2008
Freienstein;8427;2;Freienstein-Teufen;57;ZH;2687149.953;1265283.258;de;01.07.2008
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;2685452.14;1267375.826;de;01.07.2008
